Time	11.02 DUNANT 1 - ENERGIEMETER SECUNDAIR WARMTEPOMP EN PLATENWISSELAAR KOELING Totaal energieverbruik warm MWh.11.02 DUNANT 1 - ENERGIEMETER SECUNDAIR WARMTEPOMP EN PLATENWISSELAAR KOELING Totaal energieverbruik warm MWh .JCI Trend Log.Present Value (kWh)	11.02 DUNANT 1 - ENERGIEMETER SECUNDAIR WARMTEPOMP EN PLATENWISSELAAR KOELING Totaal energieverbruik koud MWh.11.02 DUNANT 1 - ENERGIEMETER SECUNDAIR WARMTEPOMP EN PLATENWISSELAAR KOELING Totaal energieverbruik koud MWh.JCI Trend Log.Present Value (kWh)	
1/20/21, 12:00:00 AM CET	19097.0	13918.0	
1/21/21, 12:00:00 AM CET	19097.0	13918.0	
1/22/21, 12:00:00 AM CET	19097.0	13918.0	
1/23/21, 12:00:00 AM CET	19097.0	13918.0	
1/24/21, 12:00:00 AM CET	19097.0	13918.0	
1/25/21, 12:00:00 AM CET	19097.0	13918.0	
1/26/21, 12:00:00 AM CET	19097.0	13918.0	
1/27/21, 12:00:00 AM CET	19097.0	13918.0	
1/28/21, 12:00:00 AM CET	19097.0	13918.0	
1/29/21, 12:00:00 AM CET	19097.0	13918.0	
1/30/21, 12:00:00 AM CET	19097.0	13918.0	
1/31/21, 12:00:00 AM CET	19097.0	13918.0	
2/1/21, 12:00:00 AM CET	19097.0	13918.0	
2/2/21, 12:00:00 AM CET	19097.0	13918.0	
2/3/21, 12:00:00 AM CET	19097.0	13918.0	
2/4/21, 12:00:00 AM CET	19097.0	13918.0	
2/5/21, 12:00:00 AM CET	19097.0	13918.0	
2/6/21, 12:00:00 AM CET	19104.0	13918.0	
2/7/21, 12:00:00 AM CET	19220.0	13922.0	
2/8/21, 12:00:00 AM CET	19220.0	13922.0	
2/9/21, 12:00:00 AM CET	19481.0	13922.0	
2/10/21, 12:00:00 AM CET	19986.0	13923.0	
2/11/21, 12:00:00 AM CET	20409.0	13925.0	
2/12/21, 12:00:00 AM CET	20930.0	13929.0	
2/13/21, 12:00:00 AM CET	21393.0	13932.0	
2/14/21, 12:00:00 AM CET	21756.0	13934.0	
2/15/21, 12:00:00 AM CET	22207.0	13935.0	
2/16/21, 12:00:00 AM CET	22631.0	13940.0	
2/17/21, 12:00:00 AM CET	22873.0	13942.0	
2/18/21, 12:00:00 AM CET	23414.0	13948.0	
2/19/21, 12:00:00 AM CET	23582.0	13950.0	
2/20/21, 12:00:00 AM CET	23884.0	13956.0	
2/21/21, 12:00:00 AM CET	24243.0	13961.0	
2/22/21, 12:00:00 AM CET	24243.0	13961.0	
2/23/21, 12:00:00 AM CET	24350.0	13967.0	
2/24/21, 12:00:00 AM CET	24607.0	13972.0	
2/25/21, 12:00:00 AM CET	24790.0	13978.0	
2/26/21, 12:00:00 AM CET	24927.0	13983.0	
2/27/21, 12:00:00 AM CET	25205.0	13991.0	
2/28/21, 12:00:00 AM CET	25328.0	13992.0	
3/1/21, 12:00:00 AM CET	25328.0	13992.0	
3/2/21, 12:00:00 AM CET	25677.0	13999.0	
3/3/21, 12:00:00 AM CET	26034.0	14004.0	
3/4/21, 12:00:00 AM CET	26282.0	14008.0	
3/5/21, 12:00:00 AM CET	26724.0	14015.0	
3/6/21, 12:00:00 AM CET	26848.0	14017.0	
3/7/21, 12:00:00 AM CET	27173.0	14021.0	
3/8/21, 12:00:00 AM CET	27174.0	14021.0	
3/9/21, 12:00:00 AM CET	27547.0	14027.0	
3/10/21, 12:00:00 AM CET	27933.0	14032.0	
3/11/21, 12:00:00 AM CET	28230.0	14035.0	
3/12/21, 12:00:00 AM CET	28559.0	14041.0	
3/13/21, 12:00:00 AM CET	28795.0	14046.0	
3/14/21, 12:00:00 AM CET	29092.0	14050.0	
3/15/21, 12:00:00 AM CET	29092.0	14050.0	
3/16/21, 12:00:00 AM CET	29399.0	14056.0	
3/17/21, 12:00:00 AM CET	29510.0	14058.0	
3/18/21, 12:00:00 AM CET	29536.0	14058.0	
3/19/21, 12:00:00 AM CET	29557.0	14059.0	
3/20/21, 12:00:00 AM CET	29578.0	14059.0	
3/21/21, 12:00:00 AM CET	29604.0	14059.0	
3/22/21, 12:00:00 AM CET	29604.0	14059.0	
3/23/21, 12:00:00 AM CET	29630.0	14059.0	
3/24/21, 12:00:00 AM CET	29650.0	14059.0	
3/25/21, 12:00:00 AM CET	29670.0	14060.0	
3/26/21, 12:00:00 AM CET	29697.0	14060.0	
3/27/21, 12:00:00 AM CET	29703.0	14060.0	
3/28/21, 12:00:00 AM CET	29718.0	14061.0	
3/29/21, 12:00:00 AM CEST	29718.0	14061.0	
3/30/21, 12:00:00 AM CEST	29738.0	14061.0	
3/31/21, 12:00:00 AM CEST	29792.0	14061.0	
4/1/21, 12:00:00 AM CEST	29792.0	14061.0	
4/2/21, 12:00:00 AM CEST	29829.0	14063.0	
4/3/21, 12:00:00 AM CEST	29894.0	14067.0	
4/4/21, 12:00:00 AM CEST	30046.0	14070.0	
4/5/21, 12:00:00 AM CEST	30046.0	14070.0	
4/6/21, 12:00:00 AM CEST	30238.0	14076.0	
4/7/21, 12:00:00 AM CEST	30670.0	14080.0	
4/8/21, 12:00:00 AM CEST	30808.0	14082.0	
4/9/21, 12:00:00 AM CEST	31306.0	14090.0	
4/10/21, 12:00:00 AM CEST	31429.0	14094.0	
4/11/21, 12:00:00 AM CEST	31538.0	14095.0	
4/12/21, 12:00:00 AM CEST	31538.0	14095.0	
4/13/21, 12:00:00 AM CEST	31982.0	14106.0	
4/14/21, 12:00:00 AM CEST	32261.0	14111.0	
4/15/21, 12:00:00 AM CEST	32386.0	14112.0	
4/16/21, 12:00:00 AM CEST	32595.0	14117.0	
4/17/21, 12:00:00 AM CEST	32972.0	14124.0	
4/18/21, 12:00:00 AM CEST	33054.0	14126.0	
4/19/21, 12:00:00 AM CEST	33054.0	14126.0	
4/20/21, 12:00:00 AM CEST	33309.0	14133.0	
4/21/21, 12:00:00 AM CEST	33401.0	14134.0	
4/22/21, 12:00:00 AM CEST	33533.0	14137.0	
4/23/21, 12:00:00 AM CEST	33669.0	14142.0	
4/24/21, 12:00:00 AM CEST	33999.0	14150.0	
4/25/21, 12:00:00 AM CEST	34025.0	14151.0	
4/26/21, 12:00:00 AM CEST	34025.0	14151.0	
4/27/21, 12:00:00 AM CEST	34119.0	14154.0	
4/28/21, 12:00:00 AM CEST	34264.0	14158.0	
4/29/21, 12:00:00 AM CEST	34383.0	14161.0	
4/30/21, 12:00:00 AM CEST	34392.0	14162.0	
5/1/21, 12:00:00 AM CEST	34554.0	14167.0	
5/2/21, 12:00:00 AM CEST	34685.0	14171.0	
5/3/21, 12:00:00 AM CEST	34685.0	14171.0	
5/4/21, 12:00:00 AM CEST	34825.0	14175.0	
5/5/21, 12:00:00 AM CEST	35001.0	14179.0	
5/6/21, 12:00:00 AM CEST	35195.0	14185.0	
5/7/21, 12:00:00 AM CEST	35262.0	14187.0	
5/8/21, 12:00:00 AM CEST	35542.0	14196.0	
5/9/21, 12:00:00 AM CEST	35563.0	14197.0	
5/10/21, 12:00:00 AM CEST	35563.0	14197.0	
5/11/21, 12:00:00 AM CEST	35580.0	14197.0	
5/12/21, 12:00:00 AM CEST	35584.0	14197.0	
5/13/21, 12:00:00 AM CEST	35598.0	14197.0	
5/14/21, 12:00:00 AM CEST	35612.0	14198.0	
5/15/21, 12:00:00 AM CEST	35612.0	14198.0	
5/16/21, 12:00:00 AM CEST	35612.0	14198.0	
5/17/21, 12:00:00 AM CEST	35612.0	14198.0	
5/18/21, 12:00:00 AM CEST	35721.0	14204.0	
5/19/21, 12:00:00 AM CEST	35812.0	14209.0	
5/20/21, 12:00:00 AM CEST	35824.0	14209.0	
5/21/21, 12:00:00 AM CEST	35902.0	14214.0	
